item_id,url,title,brand_tier,cba_flag
arroz_molinos_ala_1kg,https://supermercado.laanonimaonline.com/almacen/arroz-pastas-y-legumbres/arroz-grano-largo-fino-molinos-ala-x-1-kg/art_2440/,Arroz grano largo fino Molinos Ala x 1 kg,estándar,si
arroz_dos_hermanos_1kg,https://supermercado.laanonimaonline.com/almacen/arroz-pastas-y-legumbres/arroz-grano-largo-fino-00000-dos-hermanos-x-1-kg/art_14392/,Arroz grano largo fino Dos Hermanos x 1 kg,estándar,si
arroz_primor_1kg,https://supermercado.laanonimaonline.com/almacen/arroz-y-legumbres/arroz-largo-fino-primor-x-1-kg/art_1601/,Arroz largo fino Primor x 1 kg,estándar,si
arroz_apostoles_1kg,https://supermercado.laanonimaonline.com/almacen/arroz-pastas-y-legumbres/arroz/arroz-grano-largo-fino-00000-apostoles-x-1-kg/art_2686/,Arroz grano largo fino Apóstoles x 1 kg,estándar,si
arroz_maximo_1kg,https://supermercado.laanonimaonline.com/almacen/arroz-pastas-y-legumbres/arroz/arroz-largo-fino-maximo-x-1-kg/art_13240/,Arroz largo fino Máximo x 1 kg,2da marca,si
arroz_knorr_1kg,https://supermercado.laanonimaonline.com/almacen/arroz-y-legumbres/arroz-grano-largo-fino-00000-knorr-x-1-kg/art_5581/,Arroz grano largo fino Knorr x 1 kg,premium,si
aceite_girasol_natura_1_5l,https://supermercado.laanonimaonline.com/almacen/aceite-aderezos-y-condimentos/aceite-de-girasol-natura-x-1-5-lt/art_1963/,"Aceite de girasol Natura x 1,5 L",estándar,si
azucar_ledesma_1kg,https://supermercado.laanonimaonline.com/almacen/desayuno-y-merienda/azucar-y-endulzantes/azucar-blanca-ledesma-x-1-kg/art_1/,Azúcar blanca Ledesma x 1 kg,estándar,si
azucar_chango_1kg,https://supermercado.laanonimaonline.com/almacen/desayuno-y-merienda/azucar-y-endulzantes/azucar-comun-a-chango-x-1-kg/art_3354/,Azúcar común A Chango x 1 kg,estándar,si
harina_canuelas_000_1kg,https://supermercado.laanonimaonline.com/almacen/harina-y-pan-rallado/harina-de-trigo/harina-de-trigo-000-canuelas-x-1-kg/art_4/,Harina de trigo 000 Cañuelas x 1 kg,estándar,si
harina_pureza_000_1kg,https://supermercado.laanonimaonline.com/almacen/harina-y-pan-rallado/harina-de-trigo/harina-de-trigo-000-ultra-refinada-pureza-x-1-kg/art_22451/,Harina de trigo 000 Ultra Refinada Pureza x 1 kg,estándar,si
harina_morixe_000_1kg,https://supermercado.laanonimaonline.com/almacen/harinas/harinas-de-trigo/harina-de-trigo-000-morixe-x-1-kg/art_2045/,Harina de trigo 000 Morixe x 1 kg,estándar,si
harina_chacabuco_000_1kg,https://supermercado.laanonimaonline.com/almacen/harina-y-pan-rallado/harina-de-trigo/harina-de-trigo-000-chacabuco-x-1-kg/art_13/,Harina de trigo 000 Chacabuco x 1 kg,estándar,si
harina_blancaflor_0000_1kg,https://supermercado.laanonimaonline.com/almacen/harina-y-pan-rallado/harina-de-trigo/harina-de-trigo-0000-blancaflor-x-1-kg/art_27492/,Harina de trigo 0000 Blancaflor x 1 kg,estándar,no
harina_morixe_0000_1kg,https://supermercado.laanonimaonline.com/almacen/harinas/harinas-de-trigo/harina-de-trigo-0000-morixe-x-1-kg/art_2046/,Harina de trigo 0000 Morixe x 1 kg,estándar,no
fideos_spaghetti_lucchetti_500g,https://supermercado.laanonimaonline.com/almacen/arroz-pastas-y-legumbres/fideos-spaghetti-n7-lucchetti-x-500-g/art_25878/,Fideos Spaghetti N7 Lucchetti x 500 g,estándar,si
fideos_spaghetti_la_anonima_500g,https://supermercado.laanonimaonline.com/almacen/arroz-pastas-y-legumbres/fideos-spaghetti-lucchetti-x-500-g/art_7/,Fideos Spaghetti Lucchetti x 500 g,estándar,si
fideos_tallarines_la_anonima_500g,https://supermercado.laanonimaonline.com/almacen/arroz-pastas-y-legumbres/fideos-tallarin-la-anonima-x-500-g/art_2021/,Fideos Tallarín La Anónima x 500 g,2da marca,si
fideos_tallarines_cica_500g,https://supermercado.laanonimaonline.com/almacen/arroz-pastas-y-legumbres/fideos-tallarines-cica-x-500-g/art_14009/,Fideos Tallarines Cica x 500 g,estándar,si
fideos_tallarines_arcor_500g,https://supermercado.laanonimaonline.com/almacen/arroz-pastas-y-legumbres/fideos-tallarin-arcor-x-500-g/art_13658/,Fideos Tallarín Arcor x 500 g,estándar,si
fideos_tirabuzon_lucchetti_500g,https://supermercado.laanonimaonline.com/almacen/fideos-tirabuzon-lucchetti-x-500-g/art_25363/,Fideos Tirabuzón Lucchetti x 500 g,estándar,si
fideos_huevo_la_anonima_500g,https://supermercado.laanonimaonline.com/almacen/fideos/tallarin-al-huevo-la-anonima-x-500-g/art_27297/,Tallarín al Huevo La Anónima x 500 g,2da marca,no
